Position,Const,Created,Modified,Description,Name,Known For,Birth Date
171,nm0848554,2/2/2018,2/2/2018,,Amber Tamblyn,The Sisterhood of the Traveling Pants,5/14/1983
172,nm0266824,2/2/2018,2/2/2018,,Dakota Fanning,War of the Worlds,2/23/1994
173,nm0515255,3/7/2018,3/7/2018,,Jennie Livingston,Paris Is Burning,
174,nm1823216,3/7/2018,3/7/2018,,Heidi Ewing,The Boys of Baraka,
175,nm1823227,3/7/2018,3/7/2018,,Rachel Grady,The Boys of Baraka,
176,nm1155957,3/9/2018,3/9/2018,,Anna Muylaert,Que Horas Ela Volta?,4/21/1964
177,nm0607185,9/20/2018,9/20/2018,,Jennifer Morrison,House M.D.,4/12/1979
178,nm1312575,9/20/2018,9/20/2018,,Olivia Wilde,Tron,3/10/1984
179,nm1393967,9/24/2018,9/24/2018,,Wanuri Kahiu,Rafiki,
180,nm3661321,9/29/2018,9/29/2018,,Alexandra Lescaze,All of Me,
181,nm3053575,10/18/2018,10/18/2018,,Laura Bispuri,Figlia mia,
182,nm0789366,12/28/2018,12/28/2018,,Jessica Sharzer,American Horror Story,10/26/1972
183,nm2630323,5/1/2019,5/1/2019,,Justine Triet,Sibyl,7/17/1978
184,nm8360246,5/1/2019,5/1/2019,,Hannah Sheinkopf,Bite Me,
185,nm0886079,5/1/2019,5/1/2019,,Dorothée Van Den Berghe,Meisje,
186,nm1888018,5/1/2019,5/1/2019,,Jessica Palud,Revenir,
187,nm0079448,5/1/2019,5/1/2019,,Maggie Betts,Novitiate,
188,nm1127653,5/1/2019,5/1/2019,,Massy Tadjedin,Last Night,
189,nm0874795,5/1/2019,5/1/2019,,Gabriela Tscherniak,"Berlin, I Love You",
190,nm1872698,5/1/2019,5/1/2019,,Dianna Agron,The Family,4/30/1986
191,nm3513753,6/12/2019,6/12/2019,,Jessie Barr,Sophie Jones,
192,nm4549849,7/24/2019,7/24/2019,,Pippa Bianco,Share,
193,nm2000954,7/24/2019,7/24/2019,,Hannah Marks,Dirk Gently's Holistic Detective Agency,4/13/1993
194,nm4826506,7/24/2019,7/24/2019,,Cara Stricker,Maverick,
195,nm2859868,7/25/2019,7/25/2019,,Nikole Beckwith,"Stockholm, Pennsylvania",
196,nm3997700,8/31/2019,8/31/2019,,Houda Benyamina,Divines,11/30/1980
197,nm3052903,10/18/2019,10/18/2019,,Alison Klayman,Ai Weiwei: Never Sorry,
